Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
12/29/1978,226,137.1,89668.53,110.7,910.95,865.79,37984.91,4549.32,2834.14,2768.15,7117547.34,2732.28,23463.63,12613005.94,6717.24,788332.07,28341.8,7030.64,946.87
1/1/1979,226,137.1,89668.53,110.7,910.95,865.79,37984.91,4549.32,2834.14,2768.15,7117547.34,2732.28,23463.63,12613005.94,6717.24,788332.07,28341.8,7030.64,946.87
1/2/1979,226.8,137.3,"43,164.90",111.5,263.7,359.6,"1,792.90",4549.32,2834.14,735.6,"138,160.50",851.3,"4,454.60",12613005.94,6717.24,"107,470.00",28341.8,194.6,193.6
1/3/1979,218.6,134,"43,717.90",108,264.4,365.9,"1,802.20",4549.32,2834.14,739.4,"138,877.00",855.7,"4,477.70",12613005.94,6717.24,"108,027.40",28341.8,192.2,193
1/4/1979,223.2,136.8,"43,674.90",110.7,264.1,366.4,"1,811.70",4549.32,2834.14,743.4,"139,616.30",860.3,"4,501.50",12613005.94,6717.24,"108,602.50",28341.8,193,194.6
1/5/1979,225.5,138.4,"44,582.50",111.6,268.4,373.7,"1,843.60",4549.32,2834.14,756.4,"142,069.10",875.4,"4,580.60",12613005.94,6717.24,"110,510.40",28341.8,196.4,197.9
1/8/1979,223.1,136.4,"44,436.20",110.2,269.5,372.6,"1,841.30",4549.32,2834.14,750.9,"141,870.90",869.7,"4,574.20",12613005.94,6717.24,"110,356.30",28341.8,197.2,197.9
1/9/1979,224,137.3,"44,045.60",111,266.3,372.8,"1,822.50",4549.32,2834.14,743.3,"140,446.70",860.9,"4,528.30",12613005.94,6717.24,"109,248.40",28341.8,195,195.9
1/10/1979,220.7,135.5,"43,366.40",109.9,261.8,365.9,"1,803.50",4549.32,2834.14,735.6,"138,981.00",852,"4,481.00",12613005.94,6717.24,"108,108.30",28341.8,192,192.7
1/11/1979,220.7,135.9,"43,770.60",110.2,262.5,370.9,"1,814.60",4549.32,2834.14,740.1,"139,833.80",857.2,"4,508.50",12613005.94,6717.24,"108,771.70",28341.8,192.4,193.8
1/12/1979,217.6,134.1,"42,837.10",109,257.2,364.6,"1,782.60",4549.32,2834.14,727.1,"137,371.80",842.1,"4,429.10",12613005.94,6717.24,"106,856.60",28341.8,187.1,189.8
1/15/1979,216.9,133.8,"42,795.30",108.8,256.8,367.8,"1,782.00",4549.32,2834.14,718.1,"135,122.40",825.5,"4,374.70",12613005.94,6717.24,"106,819.80",28341.8,187.3,189.8
1/16/1979,220.7,135.6,"43,225.90",110.2,260.9,367.7,"1,796.50",4549.32,2834.14,724,"136,222.90",832.3,"4,410.40",12613005.94,6717.24,"107,689.80",28341.8,189.3,191.9
1/17/1979,227.3,139.2,"44,349.70",113.3,267.6,376.2,"1,842.10",4549.32,2834.14,742.3,"139,676.20",853.4,"4,522.20",12613005.94,6717.24,"110,419.80",28341.8,196,197.1
1/18/1979,231.8,141.7,"44,823.40",115.3,270.8,379.1,"1,861.70",4549.32,2834.14,750.3,"141,168.10",862.5,"4,570.50",12613005.94,6717.24,"111,599.20",28341.8,197.1,199
1/19/1979,230.6,141.1,"46,908.80",115.1,280.9,396.1,"1,940.80",4549.32,2834.14,782.1,"147,159.40",899.1,"4,764.40",12613005.94,6717.24,"116,335.50",28341.8,206.5,207.6
1/22/1979,235,144,"46,387.40",117.6,278.3,393.5,"1,886.90",4549.32,2834.14,781.1,"146,492.80",898.4,"4,746.60",12613005.94,6717.24,"115,493.30",28341.8,203.5,205.7
1/23/1979,230,141.1,"45,633.10",115.2,273.3,386.8,"1,895.40",4549.32,2834.14,768.4,"144,110.70",883.8,"4,669.50",12613005.94,6717.24,"113,615.30",28341.8,200.7,202
1/24/1979,236.1,144.7,"46,372.40",118.1,278.9,392.8,"1,926.10",4549.32,2834.14,780.9,"146,445.40",898.1,"4,745.10",12613005.94,6717.24,"115,456.00",28341.8,203.9,205.6
1/25/1979,233.9,144,"46,890.30",117.3,280.1,397.2,"1,937.80",4549.32,2834.14,785.6,"147,335.80",903.6,"4,774.00",12613005.94,6717.24,"116,157.90",28341.8,205.2,206.5
1/26/1979,235.5,144.6,"46,801.30",118,279.6,394.6,"1,929.30",4549.32,2834.14,782.2,"146,687.10",899.6,"4,752.90",12613005.94,6717.24,"115,646.50",28341.8,204.3,206
1/29/1979,235.2,145.3,"46,917.30",117.9,279.3,395.3,"1,887.00",4549.32,2834.14,780,"146,264.70",896.1,"4,721.90",12613005.94,6717.24,"115,498.50",28341.8,203.1,206
1/30/1979,233.5,144.1,"46,907.20",116.9,278.5,394.2,"1,921.60",4549.32,2834.14,777.9,"145,868.40",893.7,"4,709.10",12613005.94,6717.24,"115,185.50",28341.8,203.1,205.6
1/31/1979,233.7,144.8,"45,160.30",117.4,267.1,379.3,"1,840.80",4549.32,2834.14,745.2,"139,739.30",856.1,"4,511.30",12613005.94,6717.24,"108,235.80",28341.8,194.5,197.2
2/1/1979,229.4,142.9,"47,160.50",115.8,279.2,397.1,"1,927.10",4549.32,2834.14,780.1,"146,291.20",896.3,"4,722.80",12613005.94,6717.24,"113,310.70",28341.8,202.3,205.8
2/2/1979,230.3,143.5,"46,328.30",116.3,275.5,393,"1,907.40",4549.32,2834.14,772.1,"144,790.60",887.1,"4,674.30",12613005.94,6717.24,"112,148.30",28341.8,199.4,203.5
2/5/1979,243.1,150.3,"47,766.00",122.2,285.8,403.9,"1,971.90",4549.32,2834.14,800.5,"149,178.80",909.7,"4,797.30",12613005.94,6717.24,"115,919.10",28341.8,207,210.9
2/6/1979,244.5,150.8,"48,317.70",122.6,289.7,408.7,"1,996.80",4549.32,2834.14,810.8,"151,091.60",921.4,"4,858.80",12613005.94,6717.24,"117,405.40",28341.8,211,214
2/7/1979,251.6,153.7,"48,835.70",124.9,296.9,412.3,"2,031.00",4549.32,2834.14,824.6,"153,677.80",937.2,"4,942.00",12613005.94,6717.24,"119,415.10",28341.8,215.6,218.4
2/8/1979,250.5,153.5,"50,293.30",124.9,303.3,420.6,"2,081.00",4549.32,2834.14,845,"157,467.50",960.3,"5,063.90",12613005.94,6717.24,"122,359.80",28341.8,217.6,223.1
2/9/1979,246.8,151.3,"48,548.60",123.3,291.4,405.7,"2,000.90",4549.32,2834.14,812.6,"151,432.50",923.5,"4,869.80",12613005.94,6717.24,"117,670.30",28341.8,208.8,214.7
2/12/1979,244.3,150,"49,820.40",121.9,298,415.4,"2,046.40",4549.32,2834.14,840.7,"156,000.00",961.5,"5,036.80",12613005.94,6717.24,"120,300.10",28341.8,214.3,220
2/13/1979,240.6,148.1,"48,714.80",120.1,291,406.5,"2,000.60",4549.32,2834.14,822.1,"152,538.20",940.2,"4,925.10",12613005.94,6717.24,"117,630.50",28341.8,208.7,214.4
2/14/1979,240.7,148.3,"47,638.50",120,283.2,397.9,"1,946.70",4549.32,2834.14,799.9,"148,426.10",914.9,"4,792.30",12613005.94,6717.24,"114,459.40",28341.8,202.6,209.9
2/15/1979,247.8,152.4,"49,146.70",123.6,292.6,408,"2,008.30",4549.32,2834.14,825.2,"153,125.00",943.8,"4,944.00",12613005.94,6717.24,"118,083.00",28341.8,209.8,216.4
2/16/1979,247.1,152.2,"49,351.90",123.3,293.5,411.9,"2,016.70",4549.32,2834.14,828.7,"153,764.40",947.8,"4,964.70",12613005.94,6717.24,"118,576.00",28341.8,210,217.2
2/19/1979,248.1,152.8,"50,094.50",123.9,298.3,417.5,"2,047.40",4549.32,2834.14,839.9,"156,000.10",959.5,"5,087.30",12613005.94,6717.24,"120,360.20",28341.8,213.6,220.5
2/20/1979,247,152.2,"49,921.70",123.2,296.4,414.5,"2,032.40",4549.32,2834.14,833.9,"154,884.10",952.7,"5,050.90",12613005.94,6717.24,"119,499.20",28341.8,210,219.3
2/21/1979,250.8,154.6,"50,398.60",124.9,297.8,417.1,"2,039.20",4549.32,2834.14,836.7,"155,400.90",955.8,"5,067.80",12613005.94,6717.24,"119,897.90",28341.8,211,220.5
2/22/1979,252.4,155.4,"50,607.40",125.6,300.2,420.5,"2,052.70",4549.32,2834.14,842.2,"156,429.90",962.2,"5,101.40",12613005.94,6717.24,"120,691.80",28341.8,212.6,222.3
2/23/1979,251,154.4,"50,405.40",124.8,299.4,418,"2,042.00",4549.32,2834.14,837.8,"155,613.40",957.1,"5,074.70",12613005.94,6717.24,"120,061.90",28341.8,211.7,221.3
2/26/1979,248.6,152.7,"50,592.60",123,299.7,416.8,"2,034.50",4549.32,2834.14,837.2,"156,436.90",957.4,"5,042.20",12613005.94,6717.24,"119,622.70",28341.8,211.5,221.7
2/27/1979,247.9,152.5,"50,111.40",122.6,296.3,412.9,"2,012.70",4549.32,2834.14,828.3,"154,759.60",947.1,"4,988.20",12613005.94,6717.24,"118,340.20",28341.8,210.3,219.5
2/28/1979,251.3,154.6,"50,209.10",124.2,295.5,413.6,"2,011.70",4549.32,2834.14,827.8,"154,683.10",946.6,"4,985.70",12613005.94,6717.24,"119,929.30",28341.8,209.4,219.6
3/1/1979,248.8,153.3,"50,821.00",123,295.7,417.7,"2,023.90",4549.32,2834.14,832.9,"155,619.50",952.4,"5,015.90",12613005.94,6717.24,"120,655.20",28341.8,210.2,221.2
3/2/1979,248,152.8,"50,920.80",122.7,295,417.3,"2,020.50",4549.32,2834.14,831.5,"155,360.10",950.8,"5,007.50",12613005.94,6717.24,"120,454.20",28341.8,210,221.3
3/5/1979,238.2,147,"49,760.50",117.8,287.5,407.9,"1,972.10",4549.32,2834.14,813.9,"151,749.80",929.2,"4,898.60",12613005.94,6717.24,"117,567.50",28341.8,204.8,216
3/6/1979,239.8,147.9,"48,982.70",118.4,283.9,401.2,"1,941.20",4549.32,2834.14,801.2,"149,377.60",914.7,"4,822.00",12613005.94,6717.24,"115,729.60",28341.8,202,212.9
3/7/1979,242.3,149.1,"49,423.00",119.1,286.7,403.8,"1,954.00",4549.32,2834.14,806.5,"150,357.70",920.7,"4,853.70",12613005.94,6717.24,"116,489.00",28341.8,204,214.9
3/8/1979,239.2,147.1,"48,791.80",117.1,281.9,397.9,"1,919.80",4549.32,2834.14,792.4,"147,726.40",904.6,"4,768.70",12613005.94,6717.24,"114,450.40",28341.8,201,212.2
3/9/1979,241,148.4,"49,315.20",118.2,284.1,401.7,"1,938.10",4549.32,2834.14,799.9,"149,132.50",913.2,"4,814.10",12613005.94,6717.24,"115,539.80",28341.8,202.7,213.8
3/12/1979,240,148,"49,652.40",117.6,283.9,403.5,"1,939.70",4549.32,2834.14,806.5,"150,625.10",924.6,"4,867.20",12613005.94,6717.24,"115,638.20",28341.8,203,214.5
3/13/1979,239.1,147.8,"50,063.30",117.2,280.6,403.2,"1,963.40",4549.32,2834.14,801.7,"149,735.20",919.1,"4,838.50",12613005.94,6717.24,"114,954.90",28341.8,202.2,214.2
3/14/1979,239.5,147.8,"49,758.40",117.6,281.1,402.8,"1,969.90",4549.32,2834.14,804.4,"150,232.00",922.2,"4,854.50",12613005.94,6717.24,"115,336.30",28341.8,202.3,214.3
3/15/1979,240.1,148.2,"49,673.70",117.9,281.4,403.4,"1,970.10",4549.32,2834.14,804.4,"150,243.20",922.2,"4,854.90",12613005.94,6717.24,"115,344.90",28341.8,202.1,214.1
3/16/1979,244,150.8,"49,687.00",120.2,280.8,403.1,"1,972.90",4549.32,2834.14,805.6,"150,461.70",923.6,"4,862.00",12613005.94,6717.24,"115,512.70",28341.8,202.3,214
3/19/1979,242.3,149.7,"50,584.70",119.7,284.6,410.9,"2,016.90",4549.32,2834.14,821.2,"152,500.40",938.1,"4,947.80",12613005.94,6717.24,"118,090.20",28341.8,206.3,217.8
3/20/1979,242.1,149.4,"50,126.50",119.1,283,407.5,"1,991.60",4549.32,2834.14,810.8,"150,580.70",926.3,"4,885.50",12613005.94,6717.24,"116,603.60",28341.8,204.1,216
3/21/1979,239.9,148.3,"49,778.10",118.1,280.2,407,"1,977.70",4549.32,2834.14,805.2,"149,534.20",919.9,"4,851.60",12613005.94,6717.24,"115,793.20",28341.8,203.4,215
3/22/1979,242.9,149.9,"49,959.60",119.4,283.7,410.3,"1,998.00",4549.32,2834.14,813.5,"151,066.30",929.3,"4,901.30",12613005.94,6717.24,"116,979.60",28341.8,205,216.9
3/23/1979,242.5,149.7,"49,816.20",119,282.7,409.1,"1,987.50",4549.32,2834.14,809.2,"150,273.20",924.4,"4,875.60",12613005.94,6717.24,"116,365.50",28341.8,204,215.8
3/26/1979,245.3,151,"50,353.10",119.4,285.2,411,"1,989.90",4549.32,2834.14,817.3,"152,687.70",933.9,"4,937.20",12613005.94,6717.24,"116,508.10",28341.8,205.5,217.5
